Date : 2024-02-19 16:46:23
Directory : c:\Dev Temp\ts\project-b
Total : 123 files,  8228 codes, 1200 comments, 1274 blanks, all 10702 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Dev Temp\ts\project-b\android\settings.gradle                                                              | Groovy             |          4 |          0 |          1 |          5 |
| c:\Dev Temp\ts\project-b\android\variables.gradle                                                             | Groovy             |         16 |          0 |          0 |         16 |
| c:\Dev Temp\ts\project-b\app\index.html                                                                       | HTML               |         58 |         23 |          4 |         85 |
| c:\Dev Temp\ts\project-b\app\index.js                                                                         | JavaScript         |        926 |         36 |          6 |        968 |
| c:\Dev Temp\ts\project-b\app\index.ts                                                                         | TypeScript         |         80 |         22 |         19 |        121 |
| c:\Dev Temp\ts\project-b\app\tsconfig.json                                                                    | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Dev Temp\ts\project-b\capacitor.config.json                                                                | JSON               |         13 |          0 |          0 |         13 |
| c:\Dev Temp\ts\project-b\index.html                                                                           | HTML               |         68 |         25 |          8 |        101 |
| c:\Dev Temp\ts\project-b\ionic.config.json                                                                    | JSON               |          7 |          0 |          0 |          7 |
| c:\Dev Temp\ts\project-b\package.json                                                                         | JSON               |         44 |          0 |          0 |         44 |
| c:\Dev Temp\ts\project-b\packer.js                                                                            | JavaScript         |         21 |          2 |          4 |         27 |
| c:\Dev Temp\ts\project-b\server\accounts.ts                                                                   | TypeScript         |         86 |          4 |         10 |        100 |
| c:\Dev Temp\ts\project-b\server\database.ts                                                                   | TypeScript         |         47 |          1 |         10 |         58 |
| c:\Dev Temp\ts\project-b\server\index.ts                                                                      | TypeScript         |         53 |          0 |          6 |         59 |
| c:\Dev Temp\ts\project-b\server\matchmaking.ts                                                                | TypeScript         |        172 |        121 |         41 |        334 |
| c:\Dev Temp\ts\project-b\server\package.json                                                                  | JSON               |         18 |          0 |          0 |         18 |
| c:\Dev Temp\ts\project-b\server\pnpm-lock.yaml                                                                | YAML               |        441 |          0 |         62 |        503 |
| c:\Dev Temp\ts\project-b\server\tsconfig.json                                                                 | JSON with Comments |         11 |         90 |          9 |        110 |
| c:\Dev Temp\ts\project-b\src\styles\index.css                                                                 | CSS                |          6 |          0 |          2 |          8 |
| c:\Dev Temp\ts\project-b\src\ts\editor\editor.ts                                                              | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Dev Temp\ts\project-b\src\ts\editor\inspect.ts                                                             | TypeScript         |         43 |          4 |         10 |         57 |
| c:\Dev Temp\ts\project-b\src\ts\engine\diagnostics.ts                                                         | TypeScript         |         52 |          6 |         16 |         74 |
| c:\Dev Temp\ts\project-b\src\ts\engine\engine.ts                                                              | TypeScript         |         21 |          1 |          2 |         24 |
| c:\Dev Temp\ts\project-b\src\ts\engine\input\input.ts                                                         | TypeScript         |        410 |         20 |         87 |        517 |
| c:\Dev Temp\ts\project-b\src\ts\engine\input\input_bindings.ts                                                | TypeScript         |        197 |          1 |         38 |        236 |
| c:\Dev Temp\ts\project-b\src\ts\engine\input\input_types.ts                                                   | TypeScript         |        218 |          5 |         21 |        244 |
| c:\Dev Temp\ts\project-b\src\ts\engine\jsx-runtime.ts                                                         | TypeScript         |         82 |         28 |         22 |        132 |
| c:\Dev Temp\ts\project-b\src\ts\engine\jsx-types.d.ts                                                         | TypeScript         |         89 |         98 |         32 |        219 |
| c:\Dev Temp\ts\project-b\src\ts\engine\loop.ts                                                                | TypeScript         |         44 |         40 |          9 |         93 |
| c:\Dev Temp\ts\project-b\src\ts\engine\multiplayer\archetype.ts                                               | TypeScript         |        103 |          5 |         23 |        131 |
| c:\Dev Temp\ts\project-b\src\ts\engine\multiplayer\catch_up.ts                                                | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Dev Temp\ts\project-b\src\ts\engine\multiplayer\entities.ts                                                | TypeScript         |         41 |         11 |         10 |         62 |
| c:\Dev Temp\ts\project-b\src\ts\engine\multiplayer\multiplayer_input.ts                                       | TypeScript         |        269 |         47 |         64 |        380 |
| c:\Dev Temp\ts\project-b\src\ts\engine\multiplayer\network.ts                                                 | TypeScript         |        410 |         38 |         73 |        521 |
| c:\Dev Temp\ts\project-b\src\ts\engine\multiplayer\rollback.ts                                                | TypeScript         |         95 |          9 |         20 |        124 |
| c:\Dev Temp\ts\project-b\src\ts\engine\polyfills.ts                                                           | TypeScript         |         15 |          1 |          4 |         20 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\animation.ts                                                 | TypeScript         |         81 |          0 |          7 |         88 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\blueprints\graphics.ts                                       | TypeScript         |         79 |          7 |         15 |        101 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\blueprints\sprite.ts                                         | TypeScript         |         13 |          1 |          5 |         19 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\hud.tsx                                                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\plugin.ts                                                    | TypeScript         |         53 |         23 |         16 |         92 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\position.ts                                                  | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\resize.ts                                                    | TypeScript         |         25 |         21 |         11 |         57 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\setup.tsx                                                    | TypeScript JSX     |         27 |         11 |          9 |         47 |
| c:\Dev Temp\ts\project-b\src\ts\engine\rendering\system.ts                                                    | TypeScript         |         46 |         22 |         14 |         82 |
| c:\Dev Temp\ts\project-b\src\ts\engine\resource.ts                                                            | TypeScript         |         26 |          1 |          4 |         31 |
| c:\Dev Temp\ts\project-b\src\ts\engine\script.ts                                                              | TypeScript         |         78 |          4 |         19 |        101 |
| c:\Dev Temp\ts\project-b\src\ts\engine\server.ts                                                              | TypeScript         |         34 |          0 |          5 |         39 |
| c:\Dev Temp\ts\project-b\src\ts\engine\state_managment.ts                                                     | TypeScript         |         86 |          0 |         20 |        106 |
| c:\Dev Temp\ts\project-b\src\ts\engine\utils.ts                                                               | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Dev Temp\ts\project-b\src\ts\game\blueprints\bullet.ts                                                     | TypeScript         |         38 |          0 |          3 |         41 |
| c:\Dev Temp\ts\project-b\src\ts\game\blueprints\missile.ts                                                    | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Dev Temp\ts\project-b\src\ts\game\blueprints\player.ts                                                     | TypeScript         |         68 |          9 |          5 |         82 |
| c:\Dev Temp\ts\project-b\src\ts\game\blueprints\wall.ts                                                       | TypeScript         |         33 |          2 |          3 |         38 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\collision.ts                                                  | TypeScript         |          5 |          2 |          5 |         12 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\cost.ts                                                       | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\facing.ts                                                     | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\funds.ts                                                      | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\ground_enemy.ts                                               | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\match_info.ts                                                 | TypeScript         |         40 |          0 |          3 |         43 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\player_info.ts                                                | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\player_stats.ts                                               | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\timed.ts                                                      | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Dev Temp\ts\project-b\src\ts\game\components\velocity.ts                                                   | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Dev Temp\ts\project-b\src\ts\game\game_modes.ts                                                            | TypeScript         |         37 |         10 |          3 |         50 |
| c:\Dev Temp\ts\project-b\src\ts\game\hud\background.tsx                                                       | TypeScript JSX     |         15 |          0 |          1 |         16 |
| c:\Dev Temp\ts\project-b\src\ts\game\hud\components\button.tsx                                                | TypeScript JSX     |         29 |         28 |          7 |         64 |
| c:\Dev Temp\ts\project-b\src\ts\game\hud\components\dialogs.tsx                                               | TypeScript JSX     |         51 |          0 |          7 |         58 |
| c:\Dev Temp\ts\project-b\src\ts\game\hud\components\health.tsx                                                | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Dev Temp\ts\project-b\src\ts\game\hud\components\joystick.tsx                                              | TypeScript JSX     |        109 |          2 |         19 |        130 |
| c:\Dev Temp\ts\project-b\src\ts\game\hud\debug\log.tsx                                                        | TypeScript JSX     |         35 |          1 |          8 |         44 |
| c:\Dev Temp\ts\project-b\src\ts\game\levels.ts                                                                | TypeScript         |         26 |          4 |          7 |         37 |
| c:\Dev Temp\ts\project-b\src\ts\game\players.ts                                                               | TypeScript         |         35 |         21 |          3 |         59 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\bosses\frank.ts                                                  | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\gravity.ts                                                       | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\missile.ts                                                       | TypeScript         |         16 |          3 |          7 |         26 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\players\bombs.ts                                                 | TypeScript         |         67 |          3 |          7 |         77 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\players\carrier.ts                                               | TypeScript         |         63 |         27 |         12 |        102 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\players\common.ts                                                | TypeScript         |         76 |          3 |         12 |         91 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\players\frank.ts                                                 | TypeScript         |         35 |          0 |          6 |         41 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\players\griffin.ts                                               | TypeScript         |         29 |          2 |          6 |         37 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\players\laser.ts                                                 | TypeScript         |         70 |         20 |         11 |        101 |
| c:\Dev Temp\ts\project-b\src\ts\game\scripts\shotgun.ts                                                       | TypeScript         |         39 |          0 |          7 |         46 |
| c:\Dev Temp\ts\project-b\src\ts\game\settings\settings.ts                                                     | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\choose_game.tsx                                                   | TypeScript JSX     |        146 |          2 |         14 |        162 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\fade.tsx                                                          | TypeScript JSX     |         55 |          1 |          7 |         63 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\game.tsx                                                          | TypeScript JSX     |        125 |          7 |         22 |        154 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\game_over.tsx                                                     | TypeScript JSX     |        159 |          1 |         14 |        174 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\login.tsx                                                         | TypeScript JSX     |        171 |          6 |         22 |        199 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\menu.tsx                                                          | TypeScript JSX     |        418 |         28 |         43 |        489 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\multiplayer.tsx                                                   | TypeScript JSX     |        210 |         80 |         38 |        328 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\player_select.tsx                                                 | TypeScript JSX     |        145 |          5 |         22 |        172 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\preload.tsx                                                       | TypeScript JSX     |        118 |         25 |         21 |        164 |
| c:\Dev Temp\ts\project-b\src\ts\game\states\solo.tsx                                                          | TypeScript JSX     |         67 |          1 |          6 |         74 |
| c:\Dev Temp\ts\project-b\src\ts\game\systems\collision.ts                                                     | TypeScript         |        107 |          3 |         13 |        123 |
| c:\Dev Temp\ts\project-b\src\ts\game\systems\movement.ts                                                      | TypeScript         |         20 |         20 |          4 |         44 |
| c:\Dev Temp\ts\project-b\src\ts\game\systems\payment.ts                                                       | TypeScript         |         55 |          1 |          7 |         63 |
| c:\Dev Temp\ts\project-b\src\ts\game\systems\timed.ts                                                         | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Dev Temp\ts\project-b\src\ts\index.ts                                                                      | TypeScript         |         53 |          4 |         11 |         68 |
| c:\Dev Temp\ts\project-b\src\ts\test.ts                                                                       | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Dev Temp\ts\project-b\tailwind.config.js                                                                   | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Dev Temp\ts\project-b\tsconfig.json                                                                        | JSON with Comments |         21 |         84 |         10 |        115 |
| Total                                                                                                         |                    |      8,228 |      1,200 |      1,274 |     10,702 |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
